SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount
43698001,-1,28389,346,20170701,20170711,20170708,7,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43697001,-1,21768,310,20170701,20170711,20170708,6,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43699001,-1,25863,346,20170701,20170711,20170708,1,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43702001,-1,27645,311,20170701,20170711,20170708,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43700001,-1,14501,336,20170701,20170711,20170708,4,1,699.0982,699.0982,0,413.1463,413.1463,699.0982
43703001,-1,16624,310,20170701,20170711,20170708,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43704001,-1,11005,351,20170701,20170711,20170708,9,1,3374.99,3374.99,0,1898.0944,1898.0944,3374.99
43701001,-1,11003,346,20170701,20170711,20170708,9,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43705001,-1,11011,344,20170701,20170711,20170708,9,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43712001,-1,13513,311,20170702,20170712,20170709,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43708001,-1,20042,330,20170702,20170712,20170709,10,1,699.0982,699.0982,0,413.1463,413.1463,699.0982
43711001,-1,27606,314,20170702,20170712,20170709,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43706001,-1,27621,312,20170702,20170712,20170709,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43707001,-1,27616,312,20170702,20170712,20170709,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43709001,-1,16351,313,20170702,20170712,20170709,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43710001,-1,16517,314,20170702,20170712,20170709,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43720001,-1,13264,311,20170703,20170713,20170710,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43714001,-1,13591,311,20170703,20170713,20170710,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43721001,-1,13590,310,20170703,20170713,20170710,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43718001,-1,27668,311,20170703,20170713,20170710,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43719001,-1,27612,312,20170703,20170713,20170710,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43713001,-1,27601,310,20170703,20170713,20170710,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43716001,-1,16529,311,20170703,20170713,20170710,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43715001,-1,16483,314,20170703,20170713,20170710,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43717001,-1,25249,336,20170703,20170713,20170710,9,1,699.0982,699.0982,0,413.1463,413.1463,699.0982
43725001,-1,13258,311,20170704,20170714,20170711,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43722001,-1,13581,312,20170704,20170714,20170711,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43723001,-1,14520,332,20170704,20170714,20170711,1,1,699.0982,699.0982,0,413.1463,413.1463,699.0982
43726001,-1,14560,332,20170704,20170714,20170711,4,1,699.0982,699.0982,0,413.1463,413.1463,699.0982
43724001,-1,16520,311,20170704,20170714,20170711,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43727001,-1,16607,311,20170704,20170714,20170711,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43729001,-1,11238,346,20170705,20170715,20170712,10,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43733001,-1,27577,312,20170705,20170715,20170712,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43734001,-1,27604,312,20170705,20170715,20170712,1,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43728001,-1,27666,313,20170705,20170715,20170712,4,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43730001,-1,25861,346,20170705,20170715,20170712,4,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43731001,-1,16629,314,20170705,20170715,20170712,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43735001,-1,16522,310,20170705,20170715,20170712,9,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43732001,-1,11025,350,20170705,20170715,20170712,9,1,3374.99,3374.99,0,1898.0944,1898.0944,3374.99
43736001,-1,11002,346,20170705,20170715,20170712,9,1,3399.99,3399.99,0,1912.1544,1912.1544,3399.99
43738001,-1,11606,312,20170706,20170716,20170713,7,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43737001,-1,13261,311,20170706,20170716,20170713,8,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
43739001,-1,13563,310,20170706,20170716,20170713,10,1,3578.27,3578.27,0,2171.2942,2171.2942,3578.27
