TableName,ColumnName,ConstraintType,PrimaryKeyName,ForeignKeyName,ForeignKeyTableName,ForeignKeyColumnName
Address,AddressID,Primary Key,PK_Address_AddressID,NULL,NULL,NULL
Address,AddressLine1,,NULL,NULL,NULL,NULL
Address,AddressLine2,,NULL,NULL,NULL,NULL
Address,City,,NULL,NULL,NULL,NULL
Address,ModifiedDate,,NULL,NULL,NULL,NULL
Address,PostalCode,,NULL,NULL,NULL,NULL
Address,rowguid,,NULL,NULL,NULL,NULL
Address,SpatialLocation,,NULL,NULL,NULL,NULL
Address,StateProvinceID,,NULL,FK_Address_StateProvince_StateProvinceID,StateProvince,StateProvinceID
AddressType,AddressTypeID,Primary Key,PK_AddressType_AddressTypeID,NULL,NULL,NULL
AddressType,ModifiedDate,,NULL,NULL,NULL,NULL
AddressType,Name,,NULL,NULL,NULL,NULL
AddressType,rowguid,,NULL,NULL,NULL,NULL
AWBuildVersion,Database Version,,NULL,NULL,NULL,NULL
AWBuildVersion,ModifiedDate,,NULL,NULL,NULL,NULL
AWBuildVersion,SystemInformationID,Primary Key,PK_AWBuildVersion_SystemInformationID,NULL,NULL,NULL
AWBuildVersion,VersionDate,,NULL,NULL,NULL,NULL
BillOfMaterials,BillOfMaterialsID,Primary Key,PK_BillOfMaterials_BillOfMaterialsID,NULL,NULL,NULL
BillOfMaterials,BOMLevel,,NULL,NULL,NULL,NULL
BillOfMaterials,ComponentID,,NULL,FK_BillOfMaterials_Product_ComponentID,Product,ProductID
BillOfMaterials,EndDate,,NULL,NULL,NULL,NULL
BillOfMaterials,ModifiedDate,,NULL,NULL,NULL,NULL
BillOfMaterials,PerAssemblyQty,,NULL,NULL,NULL,NULL
BillOfMaterials,ProductAssemblyID,,NULL,FK_BillOfMaterials_Product_ProductAssemblyID,Product,ProductID
BillOfMaterials,StartDate,,NULL,NULL,NULL,NULL
BillOfMaterials,UnitMeasureCode,,NULL,FK_BillOfMaterials_UnitMeasure_UnitMeasureCode,UnitMeasure,UnitMeasureCode
BusinessEntity,BusinessEntityID,Primary Key,PK_BusinessEntity_BusinessEntityID,NULL,NULL,NULL
BusinessEntity,ModifiedDate,,NULL,NULL,NULL,NULL
BusinessEntity,rowguid,,NULL,NULL,NULL,NULL
BusinessEntityAddress,AddressID,,NULL,FK_BusinessEntityAddress_Address_AddressID,Address,AddressID
BusinessEntityAddress,AddressID,Primary Key,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID,FK_BusinessEntityAddress_Address_AddressID,Address,AddressID
BusinessEntityAddress,AddressTypeID,,NULL,FK_BusinessEntityAddress_AddressType_AddressTypeID,AddressType,AddressTypeID
BusinessEntityAddress,AddressTypeID,Primary Key,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID,FK_BusinessEntityAddress_AddressType_AddressTypeID,AddressType,AddressTypeID
BusinessEntityAddress,BusinessEntityID,Primary Key,PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID,FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID,BusinessEntity,BusinessEntityID
BusinessEntityAddress,ModifiedDate,,NULL,NULL,NULL,NULL
BusinessEntityAddress,rowguid,,NULL,NULL,NULL,NULL
BusinessEntityContact,BusinessEntityID,Primary Key,PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID,FK_BusinessEntityContact_BusinessEntity_BusinessEntityID,BusinessEntity,BusinessEntityID
