Area Code,Date,Market,Market Size,Product,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
970,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Colorado,Decaf,100,140,110,$0K,95,821,139,26,1,101,$0K,38
309,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Illinois,Decaf,100,140,100,$0K,95,608,139,30,1,87,$0K,52
614,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Irish Cream,Coffee,Ohio,Decaf,60,90,20,$0K,63,435,87,57,1,0,$0K,87
720,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Espresso,Espresso,Colorado,Decaf,80,130,80,$0K,72,558,108,23,1,53,$0K,55
630,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,$1K,228,1459,228,63,1,140,$0K,88
614,1/1/2012 12:00:00 AM,Central,Major Market,Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,$0K,58,338,72,22,1,16,$0K,56
970,1/1/2012 12:00:00 AM,Central,Major Market,Chamomile,Herbal Tea,Colorado,Decaf,140,160,110,$0K,170,1091,171,47,1,99,$0K,72
312,1/1/2012 12:00:00 AM,Central,Major Market,Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,$0K,89,777,130,24,1,95,$0K,35
937,1/1/2012 12:00:00 AM,Central,Major Market,Chamomile,Herbal Tea,Ohio,Decaf,20,50,50,$0K,32,456,48,8,1,29,$0K,19
719,1/1/2012 12:00:00 AM,Central,Major Market,Lemon,Herbal Tea,Colorado,Decaf,50,80,20,$0K,63,435,87,57,1,0,$0K,87
630,1/1/2012 12:00:00 AM,Central,Major Market,Lemon,Herbal Tea,Illinois,Decaf,70,90,60,$0K,83,623,107,27,1,68,$0K,39
740,1/1/2012 12:00:00 AM,Central,Major Market,Lemon,Herbal Tea,Ohio,Decaf,20,50,50,$0K,32,821,48,8,1,29,$0K,19
970,1/1/2012 12:00:00 AM,Central,Major Market,Mint,Herbal Tea,Colorado,Decaf,50,70,40,$0K,60,336,80,19,1,33,$0K,47
773,1/1/2012 12:00:00 AM,Central,Major Market,Mint,Herbal Tea,Illinois,Decaf,80,120,100,$0K,95,821,139,26,1,101,$0K,38
754,1/1/2012 12:00:00 AM,East,Major Market,Decaf Irish Cream,Coffee,Florida,Decaf,80,110,70,$0K,84,500,116,26,1,67,$0K,49
754,1/1/2012 12:00:00 AM,East,Major Market,Decaf Espresso,Espresso,Florida,Decaf,70,100,60,$0K,77,432,103,25,1,50,$0K,53
863,1/1/2012 12:00:00 AM,East,Major Market,Chamomile,Herbal Tea,Florida,Decaf,30,50,30,$0K,48,623,62,15,1,34,$0K,28
239,1/1/2012 12:00:00 AM,East,Major Market,Lemon,Herbal Tea,Florida,Decaf,40,50,20,$0K,54,312,66,20,1,13,$0K,53
339,1/1/2012 12:00:00 AM,East,Major Market,Lemon,Herbal Tea,Massachusetts,Decaf,40,60,30,$0K,58,338,72,22,1,17,$0K,55
607,1/1/2012 12:00:00 AM,East,Major Market,Lemon,Herbal Tea,New York,Decaf,180,190,100,$0K,245,1419,238,93,1,111,$0K,127
772,1/1/2012 12:00:00 AM,East,Major Market,Mint,Herbal Tea,Florida,Decaf,50,60,40,$0K,69,965,81,21,1,39,$0K,42
845,1/1/2012 12:00:00 AM,East,Major Market,Mint,Herbal Tea,New York,Decaf,150,-10,-70,$0K,207,965,-27,64,1,-113,$0K,86
325,1/1/2012 12:00:00 AM,South,Major Market,Decaf Irish Cream,Coffee,Texas,Decaf,100,130,100,$0K,83,623,107,27,1,68,$0K,39
956,1/1/2012 12:00:00 AM,South,Major Market,Decaf Espresso,Espresso,Texas,Decaf,40,70,60,$0K,54,456,80,15,1,54,$0K,26
281,1/1/2012 12:00:00 AM,South,Major Market,Chamomile,Herbal Tea,Texas,Decaf,50,80,50,$0K,60,336,80,19,1,33,$0K,47
254,1/1/2012 12:00:00 AM,South,Major Market,Lemon,Herbal Tea,Texas,Decaf,50,80,50,$0K,57,364,83,18,1,42,$0K,41
650,1/1/2012 12:00:00 AM,West,Major Market,Decaf Irish Cream,Coffee,California,Decaf,180,-40,-120,$0K,144,862,-26,47,1,-117,$0K,91
213,1/1/2012 12:00:00 AM,West,Major Market,Decaf Espresso,Espresso,California,Decaf,220,300,200,$1K,234,1310,312,77,1,203,$1K,109
510,1/1/2012 12:00:00 AM,West,Major Market,Chamomile,Herbal Tea,California,Decaf,80,120,100,$0K,95,821,139,26,1,102,$0K,37
