BAN,CREATE_MONTH,START_MONTH,CREATE_WEEK,START_WEEK,ACCOUNT_DESC,LINES REQUESTED,AGE_GROUP,HCDP_IND,HCDM_IND,HCDS_IND,ADR_PROVINCE,CHANNEL_TYPE
9817479179266,2009-06,2009-06,2009-06-06,2009-06-06,Business - Personal,3,41-50,,,,ON,Corporate Stores
9819578198741,2010-08,,2010-08-07,,Business - Personal,2,18-30,,,,ON,Corporate Stores
9819781191875,2010-09,2010-09,2010-09-11,2010-09-11,Business - Personal,6,41-50,,,,ON,Dealers
9818570180948,2010-01,2010-01,2010-01-02,02/01/2010,Business - Personal,2,18-30,,,,QC,Corporate Stores
9818706186053,2010-02,2010-02,2010-02-06,2010-02-06,Business - Personal,6,18-30,,,,ON,CORPORATE STORES
9819780190486,2010-09,2010-09,04/09/2010,2010-09-04,Business - Personal,3,50+,,,,AB,  Corporate Stores 
9821261211512,2010-12,2010-12,2010-12-04,2010-12-04,Business - Personal,2,31-40,,,,QC,Corporate Stores
9818838188163,2010-03,2010-03,2010-03-06,06/03/2010,Business - Personal,7,31-40,,HCDM,,BC,CORPORATE STORES
9818111181821,2009-10,2009-10,2009-10-10,2009-10-10,Business - Personal,5,18-30,,,,QC,CORPORATE STORES
9818363183148,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,5,41-50,,,,bc,DEALERS
9818382182181,2009-12,2009-12,2009-12-05,2009-12-05,Business - Personal,2,41-50,,,,QC,Corporate Stores
9818584184260,2010-01,,2010-01-09,,Business - Personal,5,18-30,,,,AB,Corporate Stores
9821266216657,2010-12,2010-12,04/12/2010,2010-12-04,Business - Personal,,18-30,,,,qc,Corporate Stores
9821137217325,2010-11,2010-11,2010-11-06,2010-11-06,Business - Personal,2,31-40,,,,QC,Dealers
9819121191760,2010-05,2010-05,2010-05-08,2010-05-08,Business - Personal,8,50+,,,,ON,Corporate Stores
9817021171641,2009-03,2009-03,2009-03-07,2009-03-07,Business - Personal,2,50+,,,,QC,Corporate Stores
9817013173118,2009-03,,2009-03-07,,Business - Personal,2,18-30,,,,QC,Dealers
9817317177682,2009-05,,2009-05-09,,Business - Personal,3,31-40,,,,QC,  Dealers 
9819776196619,2010-09,2010-09,2010-09-04,2010-09-04,Business - Personal,6,31-40,,,,  ON ,Corporate Stores
9818237187440,2009-11,,2009-11-07,,Business - Personal,5,18-30,,,,BC,dealers
9818824184696,2010-03,2010-03,2010-03-06,2010-03-06,Business - Personal,7,31-40,,,,QC,Corporate Stores
9817022172495,2009-03,2009-03,2009-03-07,2009-03-07,Business - Personal,2,  50+ ,HCDP,,HCDS,ON,Corporate Stores
