BAN,FIRST_CREDIT_DATE,FIRST_CREDIT_CLASS,SCORE_CARD,CREDIT_SCORE
9818102182407,2009-10-02,L,EQFX,535
9818841181294,2010-03-05,L,EQFX,557
9817174174032,2009-04-03,B,EQFX,996
9817156176952,2009-04-01,B,EQFX,993
9816904164162,2009-02-02,X,ECBS,786
9818712182034,02/02/2010,B,EQFX,951
9817769179334,2009-08-04,B,EQFX,995
9816764164003,2009-01-02,L,EQFX,
9821128218433,02/11/2010,  B ,EQFX,984
9818570180235,2010-01-02,X,eqfx,507
9816909169401,2009-02-03,K,EQFX,381
9819425195381,04/07/2010,X,EQFX,934
9817014174090,2009-03-01,L,EQFX,
9818367187784,2009-12-02,B,EQFX,995
9819127197337,2010-05-04,  L ,ecbs,6
9817176176003,2009-04-04,B,EQFX,960
9817167177220,2009/04/02,  K ,EQFX,208
9819592192486,2010-08-05,L,ECBS,922
9816776166856,2009-01-04,B,EQFX,
9817481171164,2009-06-05,X,EQFX,532
9819573193296,2010/08/02,B,EQFX,961
9817473173399,2009-06-04,  K ,eqfx,219
9817318178417,03/05/2009,X,ECBS,43
9818574184997,03/01/2010,b,EQFX,959
9816769169422,2009-01-02,X,EQFX,
9817013173357,2009-03-01,L,  EQFX ,665
9817760170834,2009-08-01,K,EQFX,518
9819121191921,03/05/2010,B,EQFX,995
9817174174093,2009-04-03,K,EQFX,
9818718188320,2010-02-04,L,EQFX,524
9818718188439,2010-02-04,X,ECBS,466
9817316176900,2009-05-02,X,ECBS,848
9817173173512,2009-04-03,X,eqfx,814
9817013173781,2009-03-01,X,ECBS,745
9816768168765,2009-01-02,L,ECBS,786
9821261211336,2010-12-01,B,eqfx,995
9817612172037,02/07/2009,b,EQFX,974
9817609179257,2009-07-01,X,EQFX,628
9821132212264,03/11/2010,  X ,ECBS,854
9819427197549,2010-07-05,  X ,EQFX,726
9819766196466,2010/09/03,B,EQFX,982
9817172172687,2009/04/03,L,EQFX,505
9817176176185,2009-04-04,B,EQFX,992
9821272212953,2010-12-03,L,EQFX,864
9818241181844,2009-11-03,x,EQFX,
9817608178553,2009-07-01,  B ,EQFX,959
9817775175221,2009-08-05,  B ,EQFX,994
9818241181465,2009-11-03,X,ECBS,822
9819950190477,2010-10-04,B,EQFX,995
9818242182336,2009-11-03,X,ECBS,813
9819772192396,2010-09-03,  L ,EQFX,655
9819946196335,2010/10/04,X,EQFX,466
9821268218021,2010-12-02,L,EQFX,
9819274194658,2010-06-04,B,EQFX,971
9819771191357,2010/09/03,B,eqfx,987
9818972182659,2010-04-01,B,EQFX,966
9818704184671,2010-02-01,L,EQFX,402
9819268198286,2010-06-03,  L ,EQFX,692
9819783193810,2010-09-05,B,EQFX,993
9819574194102,2010-08-02,B,EQFX,993
9817157177811,2009-04-01,B,eqfx,986
9818845185004,2010-03-05,X,EQFX,707
9818719189475,2010-02-04,X,EQFX,732
9818710180176,2010-02-02,  X ,EQFX,562
9818243183554,04/11/2009,b,EQFX,942
9817330170163,2009-05-05,B,EQFX,979
9821131211985,2010-11-03,B,EQFX,993
9817771171234,2009-08-04,B,EQFX,985
9819116196882,2010/05/02,L,EQFX,358
9819776196440,2010-09-04,b,EQFX,975
9818106186134,2009-10-03,  B ,EQFX,977
9821260210969,01/12/2010,X,  EQFX ,602
9819424194451,2010-07-04,X,EQFX,692
9818574184087,2010-01-03,B,EQFX,983
9817930170283,2009-09-01,X,  ECBS ,557
9816904164759,2009-02-02,x,EQFX,744
9819577197731,2010-08-03,  B ,EQFX,925
9817767177378,2009-08-04,B,EQFX,943
9817611171965,2009-07-02,X,EQFX,779
9817179179437,2009-04-07,B,EQFX,954
9816902162719,2009-02-02,X,EQFX,470
9817330170324,2009-05-05,L,ECBS,880
9819577197897,2010-08-03,B,EQFX,994
9819132192308,2010-05-05,B,EQFX,938
9818985185190,2010-04-05,X,  ECBS ,854
9819420190944,2010-07-03,K,EQFX,346
9817765175694,03/08/2009,L,EQFX,934
9817473173721,04/06/2009,L,ECBS,523
9817480170900,2009-06-05,B,EQFX,
9817615175585,2009-07-02,B,  EQFX ,980
9817929179262,01/09/2009,B,EQFX,991
9819577197080,2010-08-03,B,EQFX,895
9821279219663,04/12/2010,X,EQFX,556
9817168178172,2009-04-02,B,EQFX,986
