StoreID,StoreName,City,Province,ProvinceAbbrev,Country
CA1001,Toronto Store 1,Toronto,Ontario,ON,Canada
CA1002,Ottawa Store 1,Ottawa,Ontario,ON,Canada
CA1003,Mississauga Store 1,Mississauga,Ontario,ON,Canada
CA1004,Brampton Store 1,Brampton,Ontario,ON,Canada
CA1005,Hamilton Store 1,Hamilton,Ontario,ON,Canada
CA1006,London Store 1,London,Ontario,ON,Canada
CA1007,Markham Store 1,Markham,Ontario,ON,Canada
CA1008,Vaughan Store 1,Vaughan,Ontario,ON,Canada
CA1009,Kitchener Store 1,Kitchener,Ontario,ON,Canada
CA1010,Windsor Store 1,Windsor,Ontario,ON,Canada
CA1011,Toronto Store 2,Toronto,Ontario,ON,Canada
CA1012,Ottawa Store 2,Ottawa,Ontario,ON,Canada
CA1013,Mississauga Store 2,Mississauga,Ontario,ON,Canada
CA1014,Brampton Store 2,Brampton,Ontario,ON,Canada
CA1015,Hamilton Store 2,Hamilton,Ontario,ON,Canada
CA1016,London Store 2,London,Ontario,ON,Canada
CA1017,Markham Store 2,Markham,Ontario,ON,Canada
CA1018,Vaughan Store 2,Vaughan,Ontario,ON,Canada
CA1019,Kitchener Store 2,Kitchener,Ontario,ON,Canada
CA1020,Windsor Store 2,Windsor,Ontario,ON,Canada
CA1021,Toronto Store 3,Toronto,Ontario,ON,Canada
CA1022,Ottawa Store 3,Ottawa,Ontario,ON,Canada
CA1023,Mississauga Store 3,Mississauga,Ontario,ON,Canada
CA1024,Brampton Store 3,Brampton,Ontario,ON,Canada
CA1025,Hamilton Store 3,Hamilton,Ontario,ON,Canada
CA1026,London Store 3,London,Ontario,ON,Canada
CA1027,Markham Store 3,Markham,Ontario,ON,Canada
CA1028,Vaughan Store 3,Vaughan,Ontario,ON,Canada
CA1029,Kitchener Store 3,Kitchener,Ontario,ON,Canada
CA1030,Windsor Store 3,Windsor,Ontario,ON,Canada
CA1031,Toronto Store 4,Toronto,Ontario,ON,Canada
