ContactTypeID,Name,ModifiedDate
1,Accounting Manager,2002-06-01
2,Assistant Sales Agent,2002-06-01
3,Assistant Sales Representative,2002-06-01
4,Coordinator Foreign Markets,2002-06-01
5,Export Administrator,2002-06-01
6,International Marketing Manager,2002-06-01
7,Marketing Assistant,2002-06-01
8,Marketing Manager,2002-06-01
9,Marketing Representative,2002-06-01
10,Order Administrator,2002-06-01
11,Owner,2002-06-01
12,Owner/Marketing Assistant,2002-06-01
13,Product Manager,2002-06-01
14,Purchasing Agent,2002-06-01
15,Purchasing Manager,2002-06-01
16,Regional Account Representative,2002-06-01
17,Sales Agent,2002-06-01
18,Sales Associate,2002-06-01
19,Sales Manager,2002-06-01
20,Sales Representative,2002-06-01
