BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
893,,749,2004-06-26,,EA ,0,1.0,2004-06-12
271,,750,2004-04-04,2004-06-03,EA ,0,1.0,2004-06-03
34,,750,2004-06-04,,EA ,0,1.0,2004-05-21
830,,751,2004-06-26,,EA ,0,1.0,2004-06-12
2074,,752,2004-08-08,,EA ,0,1.0,2004-07-25
1950,,753,2004-07-20,2004-09-18,EA ,0,1.0,2004-09-18
1761,,753,2004-09-19,,EA ,0,1.0,2004-09-05
3088,,754,2005-01-15,,EA ,0,1.0,2005-01-01
3351,,755,2005-01-23,,EA ,0,1.0,2005-01-09
3246,,756,2005-01-23,,EA ,0,1.0,2005-01-09
2760,,757,2004-10-16,,EA ,0,1.0,2004-10-02
2395,,758,2004-09-05,,EA ,0,1.0,2004-08-22
3087,,759,2005-01-15,,EA ,0,1.0,2005-01-01
3350,,760,2005-01-23,,EA ,0,1.0,2005-01-09
2822,,761,2004-10-16,,EA ,0,1.0,2004-10-02
3245,,762,2005-01-23,,EA ,0,1.0,2005-01-09
2759,,763,2004-10-16,,EA ,0,1.0,2004-10-02
2394,,764,2004-09-05,,EA ,0,1.0,2004-08-22
3341,,765,2005-01-23,,EA ,0,1.0,2005-01-09
2815,,766,2004-10-16,,EA ,0,1.0,2004-10-02
2449,,767,2004-09-05,,EA ,0,1.0,2004-08-22
2899,,768,2004-10-16,2004-12-15,EA ,0,1.0,2004-12-15
2738,,768,2004-12-16,,EA ,0,1.0,2004-12-02
2363,,769,2004-09-05,,EA ,0,1.0,2004-08-22
1265,,770,2004-07-10,,EA ,0,1.0,2004-06-26
1195,,771,2004-07-10,,EA ,0,1.0,2004-06-26
3017,,772,2005-01-15,,EA ,0,1.0,2005-01-01
3281,,773,2005-01-23,,EA ,0,1.0,2005-01-09
2783,,774,2004-10-16,,EA ,0,1.0,2004-10-02
5,,775,2004-04-04,,EA ,0,1.0,2004-03-21
2737,,776,2004-10-16,,EA ,0,1.0,2004-10-02
2362,,777,2004-09-05,,EA ,0,1.0,2004-08-22
1264,,778,2004-07-10,,EA ,0,1.0,2004-06-26
1642,,779,2004-07-20,,EA ,0,1.0,2004-07-06
393,,780,2004-04-18,,EA ,0,1.0,2004-04-04
52,,781,2004-04-04,,EA ,0,1.0,2004-03-21
3217,,782,2005-01-23,,EA ,0,1.0,2005-01-09
808,,783,2004-06-26,,EA ,0,1.0,2004-06-12
2049,,784,2004-08-08,,EA ,0,1.0,2004-07-25
4,,785,2004-04-04,,EA ,0,1.0,2004-03-21
2736,,786,2004-10-16,,EA ,0,1.0,2004-10-02
2361,,787,2004-09-05,,EA ,0,1.0,2004-08-22
1263,,788,2004-07-10,,EA ,0,1.0,2004-06-26
3247,,789,2005-01-23,,EA ,0,1.0,2005-01-09
2761,,790,2004-10-16,,EA ,0,1.0,2004-10-02
2396,,791,2004-09-05,,EA ,0,1.0,2004-08-22
3089,,792,2005-01-15,,EA ,0,1.0,2005-01-01
2739,,793,2004-10-16,,EA ,0,1.0,2004-10-02
2364,,794,2004-09-05,,EA ,0,1.0,2004-08-22
1266,,795,2004-07-10,,EA ,0,1.0,2004-06-26
482,,796,2004-04-18,,EA ,0,1.0,2004-04-04
1024,,797,2004-06-26,2004-08-25,EA ,0,1.0,2004-08-25
783,,797,2004-08-26,,EA ,0,1.0,2004-08-12
2333,,798,2004-09-05,,EA ,0,1.0,2004-08-22
1240,,799,2004-07-10,,EA ,0,1.0,2004-06-26
450,,800,2004-04-18,,EA ,0,1.0,2004-04-04
92,,801,2004-04-04,,EA ,0,1.0,2004-03-21
1303,,953,2004-07-10,,EA ,0,1.0,2004-06-26
1699,,954,2004-07-20,,EA ,0,1.0,2004-07-06
3060,,955,2005-01-15,,EA ,0,1.0,2005-01-01
3326,,956,2005-01-23,,EA ,0,1.0,2005-01-09
2107,,957,2004-08-08,,EA ,0,1.0,2004-07-25
2800,,958,2004-10-16,,EA ,0,1.0,2004-10-02
1778,,959,2004-07-20,,EA ,0,1.0,2004-07-06
3102,,960,2005-01-15,,EA ,0,1.0,2005-01-01
2027,,961,2004-08-08,,EA ,0,1.0,2004-07-25
1698,,962,2004-07-20,,EA ,0,1.0,2004-07-06
3059,,963,2005-01-15,,EA ,0,1.0,2005-01-01
879,,964,2004-06-26,,EA ,0,1.0,2004-06-12
1789,,965,2004-07-20,,EA ,0,1.0,2004-07-06
3037,,966,2005-01-15,,EA ,0,1.0,2005-01-01
3304,,967,2005-01-23,,EA ,0,1.0,2005-01-09
2801,,968,2004-10-16,,EA ,0,1.0,2004-10-02
1779,,969,2004-07-20,,EA ,0,1.0,2004-07-06
419,,970,2004-04-18,,EA ,0,1.0,2004-04-04
73,,971,2004-04-04,,EA ,0,1.0,2004-03-21
1071,,972,2004-06-26,2004-08-25,EA ,0,1.0,2004-08-25
867,,972,2004-08-26,,EA ,0,1.0,2004-08-12
2993,,973,2005-01-15,,EA ,0,1.0,2005-01-01
33,,974,2004-04-04,,EA ,0,1.0,2004-03-21
829,,975,2004-06-26,,EA ,0,1.0,2004-06-12
2073,,976,2004-08-08,,EA ,0,1.0,2004-07-25
103,,977,2004-04-04,,EA ,0,1.0,2004-03-21
1668,,978,2004-07-20,,EA ,0,1.0,2004-07-06
3036,,979,2005-01-15,,EA ,0,1.0,2005-01-01
1641,,980,2004-07-20,,EA ,0,1.0,2004-07-06
392,,981,2004-04-18,,EA ,0,1.0,2004-04-04
51,,982,2004-04-04,,EA ,0,1.0,2004-03-21
850,,983,2004-06-26,,EA ,0,1.0,2004-06-12
1194,,984,2004-07-10,,EA ,0,1.0,2004-06-26
3016,,985,2005-01-15,,EA ,0,1.0,2005-01-01
3280,,986,2005-01-23,,EA ,0,1.0,2005-01-09
2782,,987,2004-10-16,,EA ,0,1.0,2004-10-02
2422,,988,2004-09-05,,EA ,0,1.0,2004-08-22
3,,989,2004-04-04,,EA ,0,1.0,2004-03-21
2735,,990,2004-10-16,,EA ,0,1.0,2004-10-02
2360,,991,2004-09-05,,EA ,0,1.0,2004-08-22
1262,,992,2004-07-10,,EA ,0,1.0,2004-06-26
481,,993,2004-04-18,,EA ,0,1.0,2004-04-04
809,,997,2004-06-26,,EA ,0,1.0,2004-06-12
2050,,998,2004-08-08,,EA ,0,1.0,2004-07-25
1938,,999,2004-07-20,2004-09-18,EA ,0,1.0,2004-09-18
1731,,999,2004-09-19,,EA ,0,1.0,2004-09-05
2000,3.0,2,2004-08-08,,EA ,3,10.0,2004-07-25
1657,3.0,461,2004-07-20,,EA ,3,1.0,2004-07-06
389,3.0,504,2004-04-18,,EA ,3,2.0,2004-04-04
805,3.0,505,2004-06-26,,EA ,3,2.0,2004-06-12
2433,316.0,486,2004-09-05,,EA ,4,1.0,2004-08-22
1290,324.0,486,2004-07-10,,EA ,3,1.0,2004-06-26
875,327.0,483,2004-06-26,,EA ,3,1.0,2004-06-12
3337,328.0,482,2005-01-23,,EA ,3,1.0,2005-01-09
2806,329.0,482,2004-10-16,,EA ,3,1.0,2004-10-02
2432,330.0,482,2004-09-05,,EA ,3,1.0,2004-08-22
1289,331.0,482,2004-07-10,,EA ,4,1.0,2004-06-26
492,350.0,486,2004-04-18,,EA ,4,1.0,2004-04-04
876,398.0,487,2004-06-26,,EA ,3,1.0,2004-06-12
3338,399.0,485,2005-01-23,,EA ,3,1.0,2005-01-09
543,400.0,523,2004-04-18,,EA ,3,1.0,2004-04-04
2162,400.0,525,2004-08-08,,EA ,3,1.0,2004-07-25
935,401.0,524,2004-06-26,,EA ,3,1.0,2004-06-12
2487,401.0,526,2004-09-05,,EA ,3,1.0,2004-08-22
2327,514.0,497,2004-09-05,,EA ,2,4.0,2004-08-22
3138,514.0,528,2005-01-15,,EA ,2,1.0,2005-01-01
1830,514.0,530,2004-07-20,,EA ,2,1.0,2004-07-06
3135,514.0,908,2005-01-15,,EA ,2,1.0,2005-01-01
1219,515.0,497,2004-07-10,,EA ,2,4.0,2004-06-26
3400,515.0,528,2005-01-23,,EA ,2,1.0,2005-01-09
3140,515.0,530,2005-01-15,,EA ,2,1.0,2005-01-01
2858,515.0,909,2004-10-16,,EA ,2,1.0,2004-10-02
386,516.0,497,2004-04-18,,EA ,2,4.0,2004-04-04
2862,516.0,528,2004-10-16,,EA ,2,1.0,2004-10-02
3402,516.0,530,2005-01-23,,EA ,2,1.0,2005-01-09
1357,516.0,910,2004-07-10,,EA ,2,1.0,2004-06-26
28,517.0,497,2004-04-04,,EA ,2,4.0,2004-03-21
2489,517.0,528,2004-09-05,,EA ,2,1.0,2004-08-22
2864,517.0,530,2004-10-16,,EA ,2,1.0,2004-10-02
348,517.0,911,2004-04-04,2004-06-03,EA ,1,2.0,2004-06-03
140,517.0,911,2004-06-04,,EA ,2,1.0,2004-05-21
1032,518.0,497,2004-06-26,2004-08-25,EA ,1,5.0,2004-08-25
803,518.0,497,2004-08-26,,EA ,2,4.0,2004-08-12
1360,518.0,528,2004-07-10,,EA ,2,1.0,2004-06-26
2491,518.0,530,2004-09-05,,EA ,2,1.0,2004-08-22
2161,518.0,912,2004-08-08,,EA ,2,1.0,2004-07-25
2022,519.0,497,2004-08-08,,EA ,2,4.0,2004-07-25
546,519.0,528,2004-04-18,,EA ,2,1.0,2004-04-04
1362,519.0,530,2004-07-10,,EA ,2,1.0,2004-06-26
3136,519.0,913,2005-01-15,,EA ,2,1.0,2005-01-01
1660,520.0,497,2004-07-20,,EA ,2,4.0,2004-07-06
144,520.0,528,2004-04-04,,EA ,2,1.0,2004-03-21
548,520.0,530,2004-04-18,,EA ,2,1.0,2004-04-04
2859,520.0,914,2004-10-16,,EA ,2,1.0,2004-10-02
3012,521.0,497,2005-01-15,,EA ,2,4.0,2005-01-01
938,521.0,528,2004-06-26,,EA ,2,1.0,2004-06-12
146,521.0,530,2004-04-04,,EA ,2,1.0,2004-03-21
1358,521.0,915,2004-07-10,,EA ,2,1.0,2004-06-26
3239,522.0,497,2005-01-23,,EA ,2,4.0,2005-01-09
2165,522.0,528,2004-08-08,,EA ,2,1.0,2004-07-25
1124,522.0,530,2004-06-26,2004-08-25,EA ,1,2.0,2004-08-25
940,522.0,530,2004-08-26,,EA ,2,1.0,2004-08-12
141,522.0,916,2004-04-04,,EA ,2,1.0,2004-03-21
1288,529.0,477,2004-07-10,,EA ,3,1.0,2004-06-26
2094,531.0,487,2004-08-08,,EA ,4,1.0,2004-07-25
1956,532.0,484,2004-07-20,2004-09-18,EA ,2,2.0,2004-09-18
1769,532.0,484,2004-09-19,,EA ,3,1.0,2004-09-05
100,533.0,478,2004-04-04,,EA ,3,1.0,2004-03-21
491,534.0,482,2004-04-18,,EA ,3,1.0,2004-04-04
1445,680.0,324,2004-07-10,,EA ,2,2.0,2004-06-26
1881,680.0,325,2004-07-20,,EA ,2,2.0,2004-07-06
3453,680.0,326,2005-01-23,,EA ,2,1.0,2005-01-09
2541,680.0,327,2004-09-05,,EA ,2,1.0,2004-08-22
3190,680.0,399,2005-01-15,,EA ,2,1.0,2005-01-01
