ProductID,StartDate,EndDate,StandardCost,ModifiedDate
707,2005-07-01,2006-06-30,12.0278,2006-06-30
707,2006-07-01,2007-06-30,13.8782,2007-06-30
707,2007-07-01,,13.0863,2007-06-17
708,2005-07-01,2006-06-30,12.0278,2006-06-30
708,2006-07-01,2007-06-30,13.8782,2007-06-30
708,2007-07-01,,13.0863,2007-06-17
709,2005-07-01,2006-06-30,3.3963,2006-06-30
710,2005-07-01,2006-06-30,3.3963,2006-06-30
711,2005-07-01,2006-06-30,12.0278,2006-06-30
711,2006-07-01,2007-06-30,13.8782,2007-06-30
711,2007-07-01,,13.0863,2007-06-17
712,2005-07-01,2006-06-30,5.7052,2006-06-30
712,2006-07-01,2007-06-30,5.2297,2007-06-30
712,2007-07-01,,6.9223,2007-06-17
713,2005-07-01,2006-06-30,31.7244,2006-06-30
713,2006-07-01,2007-06-30,29.0807,2007-06-30
713,2007-07-01,,38.4923,2007-06-17
714,2005-07-01,2006-06-30,31.7244,2006-06-30
714,2006-07-01,2007-06-30,29.0807,2007-06-30
714,2007-07-01,,38.4923,2007-06-17
715,2005-07-01,2006-06-30,31.7244,2006-06-30
715,2006-07-01,2007-06-30,29.0807,2007-06-30
715,2007-07-01,,38.4923,2007-06-17
716,2005-07-01,2006-06-30,31.7244,2006-06-30
716,2006-07-01,2007-06-30,29.0807,2007-06-30
716,2007-07-01,,38.4923,2007-06-17
717,2005-07-01,2006-06-30,747.9682,2006-06-30
717,2006-07-01,2007-06-30,722.2568,2007-06-30
717,2007-07-01,,868.6342,2007-06-17
718,2005-07-01,2006-06-30,747.9682,2006-06-30
718,2006-07-01,2007-06-30,722.2568,2007-06-30
718,2007-07-01,,868.6342,2007-06-17
719,2005-07-01,2006-06-30,747.9682,2006-06-30
719,2006-07-01,2007-06-30,722.2568,2007-06-30
719,2007-07-01,,868.6342,2007-06-17
720,2005-07-01,2006-06-30,747.9682,2006-06-30
720,2006-07-01,2007-06-30,722.2568,2007-06-30
720,2007-07-01,,868.6342,2007-06-17
721,2005-07-01,2006-06-30,747.9682,2006-06-30
721,2006-07-01,2007-06-30,722.2568,2007-06-30
721,2007-07-01,,868.6342,2007-06-17
722,2005-07-01,2006-06-30,176.1997,2006-06-30
722,2006-07-01,2007-06-30,170.1428,2007-06-30
722,2007-07-01,,204.6251,2007-06-17
723,2005-07-01,2006-06-30,176.1997,2006-06-30
723,2006-07-01,2007-06-30,170.1428,2007-06-30
723,2007-07-01,,204.6251,2007-06-17
724,2005-07-01,2006-06-30,176.1997,2006-06-30
724,2006-07-01,2007-06-30,170.1428,2007-06-30
724,2007-07-01,,204.6251,2007-06-17
725,2005-07-01,2006-06-30,181.4857,2006-06-30
725,2006-07-01,2007-06-30,187.1571,2007-06-30
726,2005-07-01,2006-06-30,181.4857,2006-06-30
726,2006-07-01,2007-06-30,187.1571,2007-06-30
727,2005-07-01,2006-06-30,181.4857,2006-06-30
727,2006-07-01,2007-06-30,187.1571,2007-06-30
728,2005-07-01,2006-06-30,181.4857,2006-06-30
728,2006-07-01,2007-06-30,187.1571,2007-06-30
729,2005-07-01,2006-06-30,181.4857,2006-06-30
729,2006-07-01,2007-06-30,187.1571,2007-06-30
730,2005-07-01,2006-06-30,181.4857,2006-06-30
730,2006-07-01,2007-06-30,187.1571,2007-06-30
731,2005-07-01,2006-06-30,352.1394,2006-06-30
732,2005-07-01,2006-06-30,352.1394,2006-06-30
733,2005-07-01,2006-06-30,352.1394,2006-06-30
734,2005-07-01,2006-06-30,352.1394,2006-06-30
735,2005-07-01,2006-06-30,352.1394,2006-06-30
736,2005-07-01,2006-06-30,176.1997,2006-06-30
736,2006-07-01,2007-06-30,170.1428,2007-06-30
736,2007-07-01,,204.6251,2007-06-17
737,2005-07-01,2006-06-30,176.1997,2006-06-30
737,2006-07-01,2007-06-30,170.1428,2007-06-30
737,2007-07-01,,204.6251,2007-06-17
738,2005-07-01,2006-06-30,176.1997,2006-06-30
738,2006-07-01,2007-06-30,170.1428,2007-06-30
738,2007-07-01,,204.6251,2007-06-17
739,2005-07-01,2006-06-30,623.8403,2006-06-30
739,2006-07-01,2007-06-30,660.9142,2007-06-30
739,2007-07-01,,747.2002,2007-06-17
740,2005-07-01,2006-06-30,706.811,2006-06-30
741,2005-07-01,2006-06-30,706.811,2006-06-30
742,2005-07-01,2006-06-30,623.8403,2006-06-30
742,2006-07-01,2007-06-30,660.9142,2007-06-30
742,2007-07-01,,747.2002,2007-06-17
743,2005-07-01,2006-06-30,617.0281,2006-06-30
743,2006-07-01,2007-06-30,653.6971,2007-06-30
743,2007-07-01,,739.041,2007-06-17
744,2005-07-01,2006-06-30,699.0928,2006-06-30
745,2005-07-01,2006-06-30,699.0928,2006-06-30
746,2005-07-01,2006-06-30,617.0281,2006-06-30
746,2006-07-01,2007-06-30,653.6971,2007-06-30
746,2007-07-01,,739.041,2007-06-17
747,2005-07-01,2006-06-30,617.0281,2006-06-30
747,2006-07-01,2007-06-30,653.6971,2007-06-30
