ProductID,StartDate,EndDate,ListPrice,ModifiedDate
707,2005-07-01,2006-06-30,33.6442,2006-06-30
707,2006-07-01,2007-06-30,33.6442,2007-06-30
707,2007-07-01,,34.99,2007-06-10
708,2005-07-01,2006-06-30,33.6442,2006-06-30
708,2006-07-01,2007-06-30,33.6442,2007-06-30
708,2007-07-01,,34.99,2007-06-10
709,2005-07-01,2006-06-30,9.5,2006-06-30
710,2005-07-01,2006-06-30,9.5,2006-06-30
711,2005-07-01,2006-06-30,33.6442,2006-06-30
711,2006-07-01,2007-06-30,33.6442,2007-06-30
711,2007-07-01,,34.99,2007-06-10
712,2005-07-01,2006-06-30,8.6442,2006-06-30
712,2006-07-01,2007-06-30,8.6442,2007-06-30
712,2007-07-01,,8.99,2007-06-10
713,2005-07-01,2006-06-30,48.0673,2006-06-30
713,2006-07-01,2007-06-30,48.0673,2007-06-30
713,2007-07-01,,49.99,2007-06-10
714,2005-07-01,2006-06-30,48.0673,2006-06-30
714,2006-07-01,2007-06-30,48.0673,2007-06-30
714,2007-07-01,,49.99,2007-06-10
715,2005-07-01,2006-06-30,48.0673,2006-06-30
715,2006-07-01,2007-06-30,48.0673,2007-06-30
715,2007-07-01,,49.99,2007-06-10
716,2005-07-01,2006-06-30,48.0673,2006-06-30
716,2006-07-01,2007-06-30,48.0673,2007-06-30
716,2007-07-01,,49.99,2007-06-10
717,2005-07-01,2006-06-30,1263.4598,2006-06-30
717,2006-07-01,2007-06-30,1301.3636,2007-06-30
717,2007-07-01,,1431.5,2007-06-10
718,2005-07-01,2006-06-30,1263.4598,2006-06-30
718,2006-07-01,2007-06-30,1301.3636,2007-06-30
718,2007-07-01,,1431.5,2007-06-10
719,2005-07-01,2006-06-30,1263.4598,2006-06-30
719,2006-07-01,2007-06-30,1301.3636,2007-06-30
719,2007-07-01,,1431.5,2007-06-10
720,2005-07-01,2006-06-30,1263.4598,2006-06-30
720,2006-07-01,2007-06-30,1301.3636,2007-06-30
720,2007-07-01,,1431.5,2007-06-10
721,2005-07-01,2006-06-30,1263.4598,2006-06-30
721,2006-07-01,2007-06-30,1301.3636,2007-06-30
721,2007-07-01,,1431.5,2007-06-10
722,2005-07-01,2006-06-30,297.6346,2006-06-30
722,2006-07-01,2007-06-30,306.5636,2007-06-30
722,2007-07-01,,337.22,2007-06-10
723,2005-07-01,2006-06-30,297.6346,2006-06-30
723,2006-07-01,2007-06-30,306.5636,2007-06-30
723,2007-07-01,,337.22,2007-06-10
724,2005-07-01,2006-06-30,297.6346,2006-06-30
724,2006-07-01,2007-06-30,306.5636,2007-06-30
724,2007-07-01,,337.22,2007-06-10
725,2005-07-01,2006-06-30,306.5636,2006-06-30
725,2006-07-01,2007-06-30,337.22,2007-06-30
726,2005-07-01,2006-06-30,306.5636,2006-06-30
726,2006-07-01,2007-06-30,337.22,2007-06-30
727,2005-07-01,2006-06-30,306.5636,2006-06-30
727,2006-07-01,2007-06-30,337.22,2007-06-30
728,2005-07-01,2006-06-30,306.5636,2006-06-30
728,2006-07-01,2007-06-30,337.22,2007-06-30
729,2005-07-01,2006-06-30,306.5636,2006-06-30
729,2006-07-01,2007-06-30,337.22,2007-06-30
730,2005-07-01,2006-06-30,306.5636,2006-06-30
730,2006-07-01,2007-06-30,337.22,2007-06-30
731,2005-07-01,2006-06-30,594.83,2006-06-30
732,2005-07-01,2006-06-30,594.83,2006-06-30
733,2005-07-01,2006-06-30,594.83,2006-06-30
734,2005-07-01,2006-06-30,594.83,2006-06-30
735,2005-07-01,2006-06-30,594.83,2006-06-30
736,2005-07-01,2006-06-30,297.6346,2006-06-30
736,2006-07-01,2007-06-30,306.5636,2007-06-30
736,2007-07-01,,337.22,2007-06-10
737,2005-07-01,2006-06-30,297.6346,2006-06-30
737,2006-07-01,2007-06-30,306.5636,2007-06-30
737,2007-07-01,,337.22,2007-06-10
738,2005-07-01,2006-06-30,297.6346,2006-06-30
738,2006-07-01,2007-06-30,306.5636,2007-06-30
