CurrencyCode,Name,ModifiedDate
AED,Emirati Dirham,2002-06-01
AFA,Afghani,2002-06-01
ALL,Lek,2002-06-01
AMD,Armenian Dram,2002-06-01
ANG,Netherlands Antillian Guilder,2002-06-01
AOA,Kwanza,2002-06-01
ARS,Argentine Peso,2002-06-01
ATS,Shilling,2002-06-01
AUD,Australian Dollar,2002-06-01
AWG,Aruban Guilder,2002-06-01
AZM,Azerbaijanian Manat,2002-06-01
BBD,Barbados Dollar,2002-06-01
BDT,Taka,2002-06-01
BEF,Belgian Franc,2002-06-01
BGN,Bulgarian Lev,2002-06-01
BHD,Bahraini Dinar,2002-06-01
BND,Brunei Dollar,2002-06-01
BOB,Boliviano,2002-06-01
BRL,Brazilian Real,2002-06-01
BSD,Bahamian Dollar,2002-06-01
BTN,Ngultrum,2002-06-01
CAD,Canadian Dollar,2002-06-01
CHF,Swiss Franc,2002-06-01
CLP,Chilean Peso,2002-06-01
CNY,Yuan Renminbi,2002-06-01
COP,Colombian Peso,2002-06-01
CRC,Costa Rican Colon,2002-06-01
CYP,Cyprus Pound,2002-06-01
CZK,Czech Koruna,2002-06-01
DEM,Deutsche Mark,2002-06-01
DKK,Danish Krone,2002-06-01
DOP,Dominican Peso,2002-06-01
DZD,Algerian Dinar,2002-06-01
EEK,Kroon,2002-06-01
EGP,Egyptian Pound,2002-06-01
ESP,Spanish Peseta,2002-06-01
EUR,EURO,2002-06-01
FIM,Markka,2002-06-01
FJD,Fiji Dollar,2002-06-01
FRF,French Franc,2002-06-01
GBP,United Kingdom Pound,2002-06-01
GHC,Cedi,2002-06-01
GRD,Drachma,2002-06-01
GTQ,Quetzal,2002-06-01
HKD,Hong Kong Dollar,2002-06-01
HRK,Croatian Kuna,2002-06-01
HUF,Forint,2002-06-01
IDR,Rupiah,2002-06-01
IEP,Irish Pound,2002-06-01
ILS,New Israeli Shekel,2002-06-01
INR,Indian Rupee,2002-06-01
ISK,Iceland Krona,2002-06-01
ITL,Italian Lira,2002-06-01
JMD,Jamaican Dollar,2002-06-01
JOD,Jordanian Dinar,2002-06-01
JPY,Yen,2002-06-01
KES,Kenyan Shilling,2002-06-01
KRW,Won,2002-06-01
KWD,Kuwaiti Dinar,2002-06-01
LBP,Lebanese Pound,2002-06-01
LKR,Sri Lankan Rupee,2002-06-01
LTL,Lithuanian Litas,2002-06-01
LVL,Latvian Lats,2002-06-01
MAD,Moroccan Dirham,2002-06-01
MTL,Maltese Lira,2002-06-01
MUR,Mauritius Rupee,2002-06-01
MVR,Rufiyaa,2002-06-01
MXN,Mexican Peso,2002-06-01
MYR,Malaysian Ringgit,2002-06-01
NAD,Namibia Dollar,2002-06-01
NGN,Naira,2002-06-01
NLG,Netherlands Guilder,2002-06-01
NOK,Norwegian Krone,2002-06-01
NPR,Nepalese Rupee,2002-06-01
NZD,New Zealand Dollar,2002-06-01
OMR,Omani Rial,2002-06-01
PAB,Balboa,2002-06-01
PEN,Nuevo Sol,2002-06-01
PHP,Philippine Peso,2002-06-01
PKR,Pakistan Rupee,2002-06-01
PLN,Zloty,2002-06-01
PLZ,Polish Zloty(old),2002-06-01
PTE,Portuguese Escudo,2002-06-01
PYG,Guarani,2002-06-01
ROL,Leu,2002-06-01
RUB,Russian Ruble,2002-06-01
RUR,Russian Ruble(old),2002-06-01
SAR,Saudi Riyal,2002-06-01
SEK,Swedish Krona,2002-06-01
SGD,Singapore Dollar,2002-06-01
SIT,Tolar,2002-06-01
SKK,Slovak Koruna,2002-06-01
SVC,El Salvador Colon,2002-06-01
THB,Baht,2002-06-01
TND,Tunisian Dinar,2002-06-01
TRL,Turkish Lira,2002-06-01
TTD,Trinidad and Tobago Dollar,2002-06-01
TWD,New Taiwan Dollar,2002-06-01
USD,US Dollar,2002-06-01
UYU,Uruguayan Peso,2002-06-01
VEB,Bolivar,2002-06-01
VND,Dong,2002-06-01
XOF,CFA Franc BCEAO,2002-06-01
ZAR,Rand,2002-06-01
ZWD,Zimbabwe Dollar,2002-06-01
