BusinessEntityID,CreditCardID,ModifiedDate
293,17038,2007-09-01
295,15369,2005-09-01
297,8010,2005-09-01
299,5316,2007-09-01
301,6653,2005-07-01
303,9010,2006-09-01
305,8937,2005-07-01
307,16124,2006-12-01
309,9478,2005-08-01
311,17600,2005-09-01
313,1970,2007-08-01
315,8274,2007-09-01
317,13045,2005-07-01
319,13601,2005-09-01
323,5958,2006-09-01
325,10709,2006-07-01
327,126,2007-09-01
329,6626,2007-07-01
331,14963,2006-08-01
333,18100,2005-09-01
335,12823,2007-05-01
337,11434,2007-08-01
339,13160,2005-08-01
341,3787,2005-12-01
343,8979,2005-08-01
345,14729,2005-08-01
347,6264,2005-08-01
349,2273,2007-09-01
351,18154,2006-08-01
353,18257,2007-09-01
355,14184,2005-08-01
357,11472,2007-08-01
359,10785,2007-08-01
361,4215,2005-09-01
363,2396,2007-08-01
365,4983,2006-07-01
367,1660,2005-08-01
369,17861,2005-08-01
371,15321,2005-08-01
373,3756,2007-08-01
375,14486,2005-09-01
377,16441,2007-08-01
379,10338,2007-09-01
381,4173,2006-09-01
383,18570,2007-09-01
385,9102,2006-09-01
387,626,2005-12-01
389,5409,2006-10-01
391,2337,2005-07-01
393,5262,2007-09-01
397,6272,2006-09-01
405,11945,2006-12-01
407,14938,2007-09-01
409,6306,2007-08-01
411,181,2005-08-01
413,17315,2006-08-01
417,13667,2005-11-01
419,12491,2007-08-01
421,18295,2006-08-01
427,12189,2006-08-01
429,16173,2007-04-01
431,10057,2006-09-01
435,10187,2007-08-01
437,5528,2005-08-01
439,7083,2005-07-01
441,12492,2007-09-01
443,7657,2007-09-01
445,1977,2007-09-01
449,9647,2007-09-01
451,1684,2005-11-01
453,1163,2005-11-01
455,11087,2007-08-01
463,3513,2007-09-01
465,11282,2005-08-01
471,14489,2006-09-01
473,9772,2006-08-01
475,7777,2007-08-01
477,7293,2005-09-01
479,14814,2007-09-01
481,10832,2007-08-01
483,4322,2005-07-01
487,18017,2005-07-01
489,7527,2007-08-01
491,9458,2006-09-01
493,13917,2005-08-01
495,242,2005-07-01
497,14363,2005-08-01
501,17699,2007-09-01
503,8394,2006-09-01
505,3490,2006-09-01
507,12316,2007-08-01
509,6442,2006-09-01
511,319,2005-09-01
513,6920,2007-10-01
515,12857,2006-09-01
517,15232,2005-07-01
519,4524,2005-09-01
521,1359,2005-08-01
523,4789,2005-11-01
525,1803,2006-09-01
527,972,2005-11-01
531,16467,2007-08-01
533,1906,2006-07-01
535,15842,2005-11-01
537,17164,2007-07-01
539,1308,2006-08-01
541,3392,2007-07-01
543,17368,2005-09-01
545,8522,2006-08-01
547,6340,2006-07-01
549,16065,2007-07-01
551,19204,2005-07-01
553,15195,2007-08-01
555,15487,2006-08-01
557,4052,2006-07-01
559,2741,2006-09-01
561,3318,2006-08-01
563,11110,2007-07-01
565,17281,2007-09-01
567,18868,2006-07-01
569,16021,2006-07-01
573,14612,2005-07-01
577,4727,2007-09-01
579,15924,2007-08-01
581,17540,2007-08-01
583,3235,2005-07-01
585,5758,2005-11-01
587,13536,2007-09-01
589,18717,2006-07-01
591,1566,2005-07-01
595,12715,2007-08-01
597,17277,2006-08-01
599,10270,2005-08-01
601,17923,2006-08-01
603,553,2006-08-01
607,5577,2005-08-01
609,5514,2006-11-01
611,7829,2005-09-01
