SalesOrderID,SalesReasonID,ModifiedDate
43697,5,2005-07-01
43697,9,2005-07-01
43702,5,2005-07-02
43702,9,2005-07-02
43703,5,2005-07-02
43703,9,2005-07-02
43706,5,2005-07-03
43706,9,2005-07-03
43707,5,2005-07-03
43707,9,2005-07-03
43709,5,2005-07-03
43709,9,2005-07-03
43710,5,2005-07-03
43710,9,2005-07-03
43711,5,2005-07-04
43711,9,2005-07-04
43712,5,2005-07-04
43712,9,2005-07-04
43713,5,2005-07-05
43713,9,2005-07-05
43714,5,2005-07-05
43714,9,2005-07-05
43715,5,2005-07-05
43715,9,2005-07-05
43716,5,2005-07-05
43716,9,2005-07-05
43718,5,2005-07-06
43718,9,2005-07-06
43719,5,2005-07-06
43719,9,2005-07-06
43720,5,2005-07-06
43720,9,2005-07-06
43721,5,2005-07-06
43721,9,2005-07-06
43722,5,2005-07-07
43722,9,2005-07-07
43724,5,2005-07-07
43724,9,2005-07-07
43725,5,2005-07-08
43725,9,2005-07-08
43727,5,2005-07-08
43727,9,2005-07-08
43728,5,2005-07-09
43728,9,2005-07-09
43731,5,2005-07-09
43731,9,2005-07-09
43733,5,2005-07-09
43733,9,2005-07-09
43734,5,2005-07-10
43734,9,2005-07-10
43735,5,2005-07-10
43735,9,2005-07-10
43737,5,2005-07-11
43737,9,2005-07-11
43738,5,2005-07-11
43738,9,2005-07-11
43739,5,2005-07-11
43739,9,2005-07-11
43740,5,2005-07-11
43740,9,2005-07-11
43741,5,2005-07-12
43741,9,2005-07-12
43742,5,2005-07-12
43742,9,2005-07-12
43744,5,2005-07-12
43744,9,2005-07-12
43745,5,2005-07-13
43745,9,2005-07-13
43746,5,2005-07-13
43746,9,2005-07-13
43747,5,2005-07-14
43747,9,2005-07-14
43748,5,2005-07-14
43748,9,2005-07-14
43749,5,2005-07-14
43749,9,2005-07-14
43750,5,2005-07-14
43750,9,2005-07-14
43751,5,2005-07-14
43751,9,2005-07-14
43752,5,2005-07-14
43752,9,2005-07-14
43753,5,2005-07-14
43753,9,2005-07-14
43754,5,2005-07-15
43754,9,2005-07-15
43755,5,2005-07-15
43755,9,2005-07-15
