UNIT_NO,DIVISION,YEAR,MAKE,MODEL,CATEGORY,CATEGORY_DESC,CATEGORY_CLASS,CATEGORY_GROUP,CATEGORY_GROUP_DESC,UNIT_TYPE,FUEL_PRODUCT,AGE,EXPECTED_LIFE(YR),IN_SERVICE_DATE,CURRENT_STATUS_DESCRIPTION,HIGH_PRIORITY,OWNING_COST_CENTER,USING_COST_CENTER,MAINTENENACE_LOCATION_NAME,PARK_LOCATION,PARK_LOCATION_NAME,BILLING_CODE,MAINTENANCE CLASSIFICATION CODE,TECH_SPEC,TECH_SPEC_DESC
329048,PURCHASING & MATERIALS MGMT,2017.0,CROWN,WAV60-118,LFZATIEZZZ,LIFT-FORKLIFT <10HP 4X2 15Y ELECT,15.0,,329CROWEL17,OFF-ROAD,ELECTRIC,5.37854062024353,,DISCO GARAGE,active unit,FS0017,FS0017,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,799 ISLINGTON AVE,,HCK-----,0.0,ELECTRIC POWERED ORDER PICKER,STANDARD
003352,MUNICIPAL LICENSING & STDS,2023.0,CHEVROLET,BOLT EUV,7SZ1TEEZZZ,PASS-SUBCOMP CL1 4X2 8Y ELECT,8.0,SEDAN - PASSENGER,003CHEVEL23,LIGHT DUTY,ELECTRIC,,,ELLESMERE GARAGE,ACTIVE UNIT,CFL007-22,MS1310,ZERO EMISSION - ELECTRIC VEHICLE,Active Unit,1530 MARKHAM RD,,OC-----8,160000.0,2023 CHEVROLET BOLT EUV ELECTRIC 5-DOOR HATCHBACK SEDAN,V1UND
321004,"PARKS, FORESTRY & RECREATION",2021.0,CASE,321F,CLZGWWDZZZ,CON-ART-LOADER 61-70HP 2X2 12Y DIESEL,CONSTRUCT,CON-ART-LOAD,CONSTRUCT-ARTICULATED LOADER,OFF-ROAD,DIESEL,1.31826664764079,12.0,44657.0,Active Unit,,P00516,P00516,EASTERN GARAGE,,,STANDARD,H6AC----,323CASEDI21A,ARTICULATED COMPACT WHEEL LOADER
063091,SOLID WASTE MANAGEMENT,2019.0,FORD,F250,5TC2TVDZZZ,PU-3/4T-CC CL2 4X2 7Y DIESEL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,4.61963651065449,7.0,43452.0,ACTIVE UNIT,,SW0718,SW0718,YONGE GARAGE,000619,1008 YONGE ST,V1.5UND,B6AD---8,063FORDDI19B,"Ford F-250, 2WD, Crew Cab with Slide-In Steel Tipster (7 years)"
LF0031,TRANSPORTATION SERVICES,2007.0,UNKNOWN,LEAFBOX,HLZZZTZZZZ,ATT-LEAF-BOX 10Y,10.0,LEAFBOX,TRANSPORTATION LEAF BOX,OTHER,,13.6333351407915,,DISCO GARAGE,Active Unit,TS6030,TS6030,,Replacement Program,,,0.0,0.0,STANDARD,NO_PM3S-
396500,"PARKS, FORESTRY & RECREATION",2019.0,toro,5910,GMZFFTDZZZ,GM-MOWER 51-60HP 4X4 10Y DIESEL,10.0,GROUND-MOWER,396TORODI19A,OFF-ROAD,DIESEL / DYED DIESEL,4.29634883942161,,DISCO GARAGE,Active Unit,P00404,P00404,,Active Unit,4169 BATHURST ST,,NO_PM_HR,0.0,2019 Toro Ground master 5910 16' MOWER,STANDARD
396457,"PARKS, FORESTRY & RECREATION",2016.0,JACOBSEN,HR800,GMZIFTDZZZ,GM-MOWER 71-80HP 4X4 10Y DIESEL,GROUND,GROUND-MOWER,396JACODI16,OFF-ROAD,DIESEL / DYED DIESEL,6.712787195586,10.0,42688.0,Active Unit,,P00830,P00830,ELLESMERE GARAGE,101 RIDGETOP RD,,NO_PM_HR,0.0,2016 JACOBSEN HR800 RIDE-ON 16FT MOWER,STANDARD
041181,transportation services,2016.0,FORD,ESCAPE,7UZ1TEUZZZ,PASS-SUV CL1 4X2 8Y UNLEAD,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,7.74018445585997,8.0,42313.0,Active Unit,,TS8020,TS8020,EASTERN GARAGE,000520,433 EASTERN AVE,V1.5UND,BYAC---8,041FORDUN16A,2WD SPORT UTILITY VEHICLE
294079,"PARKS, FORESTRY & RECREATION",2014.0,VERMEER,BC1000XL,ABZI1WDZZZ,APP-BRUSH-CH 71-80HP SINGLE AXLE 12Y DIESEL,APPARATUS,APP-BRUSH-CH,APPARUTUS-BRUSH CHIPPER,OTHER,DIESEL / DYED DIESEL,9.08538993531202,,41822.0,Active Unit,,P00069,P00069,EASTERN GARAGE,000520,433 EASTERN AVE,STANDARD,HC------,294VERMDI14,12 INCHES CAPACITY TOW BEHIND BRUSH CHIPPER
319157,"PARKS, FORESTRY & RECREATION",2015.0,JOHN DEERE,JD5085E,GRZJFWDSPZ,GM-TRACTOR 81-100HP 4X4 12Y DIESEL SPPL,GROUND,GM-TRACT,GROUNT-TRACTOR,OFF-ROAD,DIESEL / DYED DIESEL,7.36484199010654,12.0,42450.0,Active Unit,,P13474,P13474,ELLESMERE GARAGE,003763,101 RIDGETOP RD,STANDARD,H6AE----,319JOHNDI15,2015 JOHN DEERE JD5085E 85HP FARM TRACTOR
159034,"PARKS, FORESTRY & RECREATION",2011.0,INTERNATIO,4300,1CS6TWDZZZ,TRK-CHPR-SC CL6 4X2 12Y DIESEL,CLASS6,TRUCK-CHIP,TRUCK - CHIPPER,HEAVY DUTY,DIESEL,12.5210063736682,12.0,40568.0,active unit,,P00090,P00090,DISCO GARAGE,005381,441 KIPLING AVE,V5OVR,B6AD---9,159INTEDI11,9FT DUMP BODY WITH CHIPPER ENCLOSURE
111088,TORONTO PUBLIC LIBRARY,2018.0,FORD,TRANSIT 150,3HS2TTUZZZ,VAN-1/2T-CARGO-SR CL2 4X2 10Y UNLEAD,CLASS2,VAN-1/2T,VAN - 1/2 TON,LIGHT DUTY,UNLEADED,4.63059541476408,10.0,43448.0,Active Unit,,10000302,10000302,ELLESMERE GARAGE,3892-1,1076 ELLESMERE RD,V1.5UND,BYAC---8,111FORDUN18,150 Series Cargo Van - Ford Transit 150
065108,FLEET SERVICES,2013.0,FORD,F250,5TE2FTDEOP,PU-3/4T-EC CL2 4X4 10Y DIESEL TCPLGPL,CLASS2,PICKUP - 3/4 TON,065FORDDI13,LIGHT DUTY,DIESEL,9.54246575342466,10.0,41562.0,Unit SOLD,,TS6060,FL7009,BOOTH GARAGE,1116 KING ST W,,BYAC---8,220000.0,4WD EXTENED CAB PICK UP TRUCK TC- 12 ARROW BOARD & POWER LIFTGATE & PLOW,STANDARD
095202,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.35388308599696,8.0,44644.0,Active Unit,,FA3666,FA3666,ELLESMERE GARAGE,003892,1050 ELLESMERE RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
384010,MUNICIPAL LICENSING & STDS,2004.0,ROCKY MOUN,ST3 GEOMETRY,KMZZDEZZZZ,BIKE-MANUAL 2 WHEEL 8 YEAR,38352.0,MANUAL BICYCLE,STANDARD,OFF-ROAD,,18.5922392503805,EASTERN GARAGE,Active Unit,Active Unit,MS1300,,1160.0,,,,0.0,000520,NONMETER,0.0
202026,"PARKS, FORESTRY & RECREATION",2010.0,INTERNATIO,DURASTAR 4400,1ZS8TWDZZZ,TRK-CHPR-EXTARL-SC CL8 4X2 12Y DIESEL,CLASS8,TRUCK-EXARCHI,truck-CHIPPER EXTENDED AERIAL,HEAVY DUTY,DIESEL,13.3484036339422,12.0,40266.0,Replacement Program,,P00091,P00091,INGRAM GARAGE,5109-1,305 ROCKCLIFFE BLVD,V6.25OVR,O6ADR--9,202INTEDI10,TRUCK WITH ELEVATOR EXT. AERIAL DEVICE & CHIPPER DUMP BODY
064174,TORONTO HOUSING COMPANY,2017.0,FORD,F250 4X4,5TS2FTDPZZ,PU-3/4T-SC CL2 4X4 10Y DIESEL PL,CLASS2,PICKU-3/4T,PICKUP - 3/4 TON,LIGHT DUTY,DIESEL,5.24429404490107,10.0,43224.0,Active Unit,,10000174,10000174,EASTERN GARAGE,,,V1.5UND,B6AD---8,064FORDDI17A,3/4 TON PICKUP TRUCK - STANDARD CAB 4X4
041093,"PARKS, FORESTRY & RECREATION",2010.0,FORD,ESCAPE HYBRI,7UZ1TENZZZ,PASS-SUV CL1 4X2 8Y HYBUN,CLASS1,SEDAN-PASS,SEDAN - PASSENGER,LIGHT DUTY,UNLEADED,13.54018445586,8.0,,Active Unit,,P00069,P00069,BOOTH GARAGE,000520,433 EASTERN AVE,V1.5OVR,OYAC---8,041FORDUN10A,GAS/ELECTRIC HYBRID SUV 2WD
095194,FACILITIES MGMT & REAL ESTATE,2021.0,DODGE,RAM PROMASTER CITY,3MZ1TEUZZZ,VAN-MINICARGO CL1 4X2 8Y UNLEAD,CLASS1,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,1.44703377092846,8.0,44610.0,Active Unit,,FA3666,FA3666,DISCO GARAGE,002426,150 DISCO RD,V1.5UND,BYAC---8,095DODGUN21,2021 Dodge Ram Promaster City Mini Cargo Van
094140,ENGINEERING & CONSTR. SERVICES,2023.0,DODGE,GRAND CARAVA,7VZ2TEUZZZ,PASS-MV CL2 4X2 8Y UNLEAD,CLASS2,VAN-PASS,VAN - PASSENGER,LIGHT DUTY,UNLEADED,0.205937880517504,8.0,45063.0,Active Unit,,CFL009-21,ECS640,ELLESMERE GARAGE,005680,18 DYAS RD,V1UND,BYAC---8,094DODGUN23,2023 Chrysler Grand Caravan SXT FWD
041212,ENGINEERING & CONSTR. SERVICES,2017.0,FORD,ESCAPE,7UZ1FEUZZZ,PASS-SUV CL1 4X4 8Y UNLEAD,CLASS1,SEDAN - PASSENGER,041FORDUN17,LIGHT DUTY,UNLEADED,6.77854062024353,8.0,42664.0,Active Unit,,ECS620,ECS620,FINCH GARAGE,1026 FINCH AVE W,,BYAC---8,160000.0,AWD SPORT UTILITY VEHICLE,V1.5UND
080079,FLEET SERVICES,2013.0,FORD,F550,1US5TTDVZZ,TRK-UTLTY-SC CL5 4X2 10Y DIESEL VALV,CLASS5,TRUCK- UTILI,TRUCK - UTILITY,MEDIUM DUTY,DIESEL,10.2497734969559,10.0,41397.0,Unit Return for Disp/Sale/Rem,,TW2020,FL7009,DISCO GARAGE,,435 KIPLING AVE,STANDARD,B6AD---8,080FORDDI13B,2013 FORD F-550 w/ utility body W/O valve operator
