UNIT_NO,LAST_FUEL_DATE,LAST_WORKORDER_OPEN_DATE,M5_LIFE_KM_USAGE(KM),M5_LIFE_HRS_USAGE(Hrs),M5_YTD_KM_USAGE(KM),M5_YTD_HRS_USAGE(Hrs),AVAILABLE HOURS (Hrs),DOWNTIME(Hrs),EXPECT_USAGE(KM),EXPECT_USAGE(Hrs),VEU
347027,44594.5203935185,0.0,15.0,0.0,0.0,WINTERMAIN,2.0,WM-BLOW,4301-1,61 TORYORK DR,WINTER-MAIN-SNOW BLOWER
206084,45138.4859606481,45119.2890046296,123429.0,3925.0,21703.0,649.0,1160.0,44.3088888888889,400000.0,10000.0,5.0
080046,44862.4332638889,44838.2739583333,116264.0,0.0,0.0,0.0,152.0,4.0,5500.0,5381-1,TRUCK- UTILI
001064,45112.5943981481,44910.2665625,17646.0,435.0,2321.0,0.0,1160.0,,0.0,5381-1,SEDAN-PASS
065175,45126.3836574074,,6248.0,32.0,6248.0,32.0,1048.0,85.6558333333333,220000.0,0.0,1.5
112309,,45138.262962963,66661.0,2796.0,4517.0,7.0,1160.0,265.291944444444,220000.0,0.0,1.5
294078,44877.314212963,44959.7777893519,0.0,781.0,0.0,1.0,1160.0,189.788333333333,0.0,6300.0,1.0
095194,45132.5784259259,44984.3243865741,8528.0,53.0,4160.0,1.0,1160.0,17.7744444444444,160000.0,0.0,1.5
378288,,43224.3561574074,0.0,758.0,0.0,259.0,1160.0,1.0,2100.0,,GM-UT-CART
329019,0.0,0.0,0.0,0.0,LIFTING,15.0,LIFT-FRKLFT,,,,329CATEPR07
045029,45114.3187962963,45075.5064814815,56031.0,0.0,2426.0,0.0,1160.0,83.7386111111111,180000.0,0.0,1.5
003201,45131.5863310185,44943.650462963,74288.0,329.0,3300.0,1.0,1160.0,78.4041666666667,160000.0,0.0,1.0
020013,45133.27125,44839.6308680556,57276.0,2149.0,8484.0,320.0,1160.0,1.0,0.0,005581,SEDAN-PASS
187008,,44897.3184953704,47564.0,1317.0,0.0,0.0,152.0,5.0,6250.0,003892,TRUCK-DUMP
