Year,WeekNumber,StoreID,Product,Price,OnFlyer,Discount,Units,SalesAmt,GrossMargin,Transactions
2021,10,CA1908,Aussie,3.49,Yes,0.3,18,62.82,12.42,11
2021,9,CA2227, Aussie,4.99,NO,0.0,1,4.99,2.19,1
2021,47,CA1072,Pantene,6.79,Yes,0.15,20,135.8,53.8,19
2021,41,CA1589,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,30,CA1004,AUSSIE,4.99,No,0.0,10,49.9,21.9,10
2022,13,CA1433,Pantene,7.99,No,0.0,7,55.93,27.23,7
2021,11,CA2066,aussie,3.49,No,30.0,4,13.96,2.76,2
2021,12,CA2123,Aussie,4.99,NO,0%,1,4.99,2.19,1
2021,52,CA1434,Pantene,7.99,No,0.0,9,71.91,35.01,9
2021,33,CA1305,Aussie,4.99,No,0.0,18,89.82,39.42,17
2021,35,CA2058,Aussie,4.99,No,0%,2,9.98,4.38,2
2021,35,CA1167,Pantene,6.79,Yes,15%,18,122.22,48.42,16
2021,29,CA1786,Pantene,6.49,yes,0.2,6,38.94,14.34,5
2021,24,CA2016,Pantene,4.49, Yes,0.45,16,71.84,6.24,9
2021,42,CA2095,Pantene,5.29,Yes,0.35,4,21.16,4.76,3
2022,9,CA1834,Pantene,4.79,Yes,0.4,19,91.01,13.11,13
2021,46,CA1121, Aussie,4.99,no,0%,18,89.82,39.42,17
2021,3,CA1339,Pantene,5.49,Yes,30.0,28,153.72,38.92,22
2021,43,CA1371,Pantene,6.49,Yes,0.2,18,116.82,43.02,16
2021,47,CA1518,Aussie,2.99,YES,0.4,47,140.53,8.93,18
2021,1,CA2070,Pantene,,No,0.0,2,15.98,7.78,1
2021,31,CA1293,Aussie,3.49,Yes,0.3,46,160.54,31.74,27
2021,22,CA1509,Pantene,3.99,Yes,0.5,58,231.42,-6.38,27
2021,5,CA1936,Pantene,7.99, No,0.0,5,39.95,19.45,5
2021,15,CA1171, Pantene,4.79,Yes,0.4,38,182.02,26.22,26
2022,11,CA1097,Pantene,7.99,No,0.0,14,111.86,54.46,14
2021,15,CA2272,Pantene,4.79,Yes,40%,1,4.79,0.69,1
2021,23,CA1638,Aussie,3.49,Yes,0.3,38,132.62,26.22,22
2021,10,CA1231,Aussie,3.49,Yes,0.3,54,188.46,37.26,31
2021,39,CA2203,Pantene,7.99,NO,0.0,1,7.99,3.89,1
2021,11,CA2020,pantene,7.99,No,0.0,5,39.95,19.45,5
2021,50,CA1866,pantene,3.99,Yes,0.5,28,111.72,-3.08,13
2021,10,CA2077,aussie,3.49,yes,30.0,8,27.92,5.52,5
2022,12,CA1944,Pantene,3.99,Yes,50%,21,83.79,-2.31,10
2021,43,CA1122,Pantene,6.49,Yes,0.2,22,142.78,52.58,19
2021,36,CA2252,Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,14,CA1679,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,8,CA2268,Pantene,7.99,no,0.0,1,7.99,3.89,0
2021,1,CA1395,aussie,4.99,No,0%,14,69.86,30.66,14
2021,1,CA2190,Pantene,,No,0.0,1,7.99,3.89,1
2021,48,CA1355,Aussie,4.99,No,0%,11,54.89,24.09,11
2021,40,CA1906,Pantene,5.29,Yes,0.35,11,58.19,13.09,9
2021,5,CA1282,Aussie,3.99,YES,0.2,28,111.72,33.32,21
2021,20,CA2033,Aussie,4.99,No,0.0,5,24.95,10.95,5
2021,1,CA2186,Pantene,,No,0.0,1,7.99,3.89,1
2021,39,CA1085,Aussie,2.49,Yes,0.5,105,261.45,-32.55,30
2021,35,CA1763,Aussie,4.99,No,0.0,6,29.94,13.14,5
2022,11,CA1974,Pantene,7.99,No,0%,5,39.95,19.45,4
2021,11,CA1188,Pantene,7.99,No,0.0,8,63.92,31.12,8
2021,45,CA1057,Pantene,4.49,Yes,0.45,70,314.3,27.3,40
2022,2,CA1705,Pantene,5.49,no,0.3,11,60.39,15.29,9
2021,24,CA1721,Aussie,3.49,No,0.3,23,80.27,15.87,12
2021,29,CA2118,Aussie,3.99,NO,0.2,3,11.97,3.57,2
2021,24,CA1801,Pantene,4.49,Yes,0.45,18,80.82,7.02,10
2021,15,CA2086,Aussie,4.29,Yes,15.0,3,12.87,4.52,2
2021,5,CA1997,Aussie,3.99,Yes,0.2,12,47.88,14.28,9
2021,40,CA1127,Pantene,,Yes,0.35,30,158.7,35.7,23
2022,5,CA1489,Pantene,7.99,No,0.0,7,55.93,27.23,7
2022,15,CA1197,Pantene,6.79,No,15.0,14,95.06,37.66,12
2021,12,CA1015,Pantene,3.99,Yes,0.5,83,331.17,-9.13,38
2021,47,CA1972,PANTENE,6.79,Yes,0.15,8,54.32,21.52,7
2021,17,CA1799,Aussie,4.99,No,0.0,6,29.94,13.14,5
2021,41,CA1777,pantene,7.99,No,0%,5,39.95,19.45,5
2021,31,CA1718,Aussie,3.49,Yes,0.3,24,83.76,16.56,14
2021,48,CA2092,Pantene,7.49,Yes,0.05,2,14.98,6.78,2
2021,2,CA1184,Pantene,,YES,0.1,16,116.64,51.04,15
2021,3,CA1780,Aussie,2.99,Yes,0.4,37,110.63,7.03,14
2021,31,CA2243,Pantene,5.49,No,0.3,2,10.98,2.78,1
2021,28,CA1546,PANTENE,3.99,Yes,0.5,45,179.55,-4.95,21
2021,5,CA1160,Aussie,3.99,yes,0.2,29,115.71,34.51,22
2021,11,CA1740,Aussie,3.49,No,0.3,15,52.35,10.35,8
2021,44,CA1765,Aussie,3.99,yes,0.2,10,39.9,11.9,8
2022,2,CA1745,Pantene,5.49, No,0.3,13,71.37,18.07,10
2022,11,CA2146, Pantene,7.99,No,0.0,1,7.99,3.89,1
2021,50,CA1348,Aussie,3.29,No,0.35,46,151.34,22.54,20
