Date,Fiscal Year,Fiscal Quarter,Month,Full Date
07/01/2019,FY2020,FY2020 Q1,01-07-2019,2019-07-01 00:00:00
2019-07-02 00:00:00,2020,FY2020 Q1,"Jul 01, 2019",20190702
2019-07-03 00:00:00,FY2020,FY2020 Q1,01-07-2019,07/03/2019
04-07-2019,FY2020,FY2020 Q1,01-07-2019,20190704
2019-07-05,FY2020,FY2020 Q1,2019-07-01,2019-07-05 00:00:00
2019-07-06,FY-2020,FY2020 Q1,"Jul 01, 2019",07/06/2019
20190707,FY2020,FY2020 Q1,2019-07-01,07/07/2019
2019-07-08,FY2020,FY2020 Q1,2019-07-01,20190708
07/09/2019,2020,FY2020 Q1,07/01/2019,20190709
"Jul 10, 2019",FY2020,FY2020 Q1,2019-07-01 00:00:00,07/10/2019
20190711,FY-2020,FY2020 Q1,"Jul 01, 2019",11-07-2019
12-07-2019,FY2020,FY2020 Q1,2019-07-01,2019-07-12 00:00:00
13-07-2019,FY-2020,FY2020 Q1,20190701,2019-07-13 00:00:00
2019-07-14 00:00:00,FY2020,FY2020 Q1,2019-07-01 00:00:00,07/14/2019
"Jul 15, 2019",FY2020,FY2020 Q1,"Jul 01, 2019",07/15/2019
20190716,FY2020,FY2020 Q1,01-07-2019,20190716
20190717,FY2020,FY2020 Q1,01-07-2019,17-07-2019
2019-07-18,FY2020,FY2020 Q1,20190701,20190718
07/19/2019,FY2020,FY2020 Q1,07/01/2019,07/19/2019
2019-07-20 00:00:00,FY-2020,FY2020 Q1,01-07-2019,2019-07-20
21-07-2019,FY2020,FY2020 Q1,20190701,20190721
2019-07-22,FY2020,FY2020 Q1,01-07-2019,"Jul 22, 2019"
23-07-2019,FY2020,FY2020 Q1,07/01/2019,"Jul 23, 2019"
07/24/2019,FY2020,FY2020 Q1,20190701,2019-07-24
25-07-2019,2020,FY2020 Q1,2019-07-01 00:00:00,25-07-2019
"Jul 26, 2019",FY2020,FY2020 Q1,07/01/2019,2019-07-26 00:00:00
2019-07-27 00:00:00,FY2020,FY2020 Q1,"Jul 01, 2019",20190727
2019-07-28,FY2020,FY2020 Q1,01-07-2019,2019-07-28
29-07-2019,FY2020,FY2020 Q1,07/01/2019,20190729
20190730,FY2020,FY2020 Q1,20190701,"Jul 30, 2019"
2019-07-31,FY2020,FY2020 Q1,2019-07-01 00:00:00,"Jul 31, 2019"
2019-08-01,FY2020,FY2020 Q1,2019-08-01,2019-08-01 00:00:00
"Aug 02, 2019",FY2020,FY2020 Q1,2019-08-01,2019-08-02 00:00:00
2019-08-03 00:00:00,FY2020,FY2020 Q1,"Aug 01, 2019",08/03/2019
2019-08-04,2020,FY2020 Q1,2019-08-01,20190804
2019-08-05,FY2020,FY2020 Q1,"Aug 01, 2019","Aug 05, 2019"
06-08-2019,FY2020,FY2020 Q1,"Aug 01, 2019","Aug 06, 2019"
07-08-2019,2020,FY2020 Q1,08/01/2019,20190807
2019-08-08,FY2020,FY2020 Q1,01-08-2019,20190808
2019-08-09,FY2020,FY2020 Q1,01-08-2019,2019-08-09 00:00:00
10-08-2019,FY2020,FY2020 Q1,2019-08-01,10-08-2019
2019-08-11 00:00:00,FY2020,FY2020 Q1,2019-08-01 00:00:00,08/11/2019
08/12/2019,2020,FY2020 Q1,"Aug 01, 2019",2019-08-12 00:00:00
2019-08-13,FY2020,FY2020 Q1,2019-08-01,2019-08-13 00:00:00
2019-08-14 00:00:00,FY2020,FY2020 Q1,01-08-2019,08/14/2019
2019-08-15,FY2020,FY2020 Q1,2019-08-01 00:00:00,"Aug 15, 2019"
"Aug 16, 2019",FY2020,FY2020 Q1,20190801,"Aug 16, 2019"
