Channel,Sales Order,Sales Order Line,Customer ID,Reseller ID,SKU,Region,Country,Order Date,Due Date,Ship Date,Order Quantity,Unit Price,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Extended Amount,Sales Amount,_batch_id
Internet,SO46867,SO46867 - 1,AW00013029,,BK-R89B-52,Northwest,United States,"Jun 22, 2018",2018-07-02,29-06-2018,1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
internet,SO46793,SO46793 - 1,AW00013214,,BK-R89B-48,Northwest,United States,2018-06-13,2018-06-23,"Jun 20, 2018",1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO47904,SO47904 - 1,AW00016562,,BK-R89B-52,United Kingdom,United Kingdom,23-09-2018,2018-10-03,30-09-2018,1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO46217,SO46217 - 1,AW00020614,,BK-R93R-56,australia,Australia,2018-04-14 00:00:00,2018-04-24,2018-04-21 00:00:00,1.0,3578.27,0.0%,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO44147,SO44147 - 1,AW00017320,,BK-R93R-62,Australia,Australia,04-08-2017,2017-08-14,20170811,1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO47137,SO47137 - 1,AW00013348,,BK-R89R-58,Southwest,United States,07/08/2018,2018-07-18,"Jul 15, 2018",1.0,2181.5625,,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO44183,SO44183 - 1,AW00028158,,BK-R93R-62,Southwest,United States,20170812,2017-08-22,20170819,1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO43921,SO43921 - 1,,,BK-R93R-52,Australia,Australia,"Jul 17, 2017",2017-07-27,2017-07-24,1.4,3578.27,,2171.2942,2171.2942,-3578.27,-3578.27,ERP_EXPORT_20240115
 Internet,SO46837,SO46837 - 1,AW00014003,,BK-R64Y-38,Northwest,United States,19-06-2018,2018-06-29,2018-06-26,1.0,1000.4375,0.0,605.6492,605.6492,1000.4375,1000.4375,ERP_EXPORT_20240115
internet,SO44329,SO44329 - 1,,,BK-R93R-44,Australia,Australia,09/03/2017,2017-09-13,2017-09-10 00:00:00,1.3,3578.27,,2171.2942,2171.2942,-3578.27,-3578.27,ERP_EXPORT_20240115
Internet,SO45136,SO45136 - 1,,,BK-R93R-48,Australia,Australia,"Dec 11, 2017",2017-12-21,18-12-2017,1.5,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO45710,SO45710 - 1,AW00019963,,BK-R93R-62,Australia,Australia,17-02-2018,2018-02-27,02/24/2018,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
internet,SO45900,SO45900 - 1,AW00011837,,BK-R93R-48, Southwest,United States,15-03-2018,2018-03-25,"Mar 22, 2018",1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
internet,SO46538,SO46538 - 1,AW00012774,,BK-R93R-62,Southwest ,United States,22-05-2018,2018-06-01,"May 29, 2018",1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO43944,SO43944 - 1,,,BK-M82S-38,Australia,Australia,"Jul 20, 2017",2017-07-30,"Jul 27, 2017",1.8,3399.99,,1912.1544,1912.1544,-3399.99,-3399.99,ERP_EXPORT_20240115
Internet ,SO43709,SO43709 - 1,,,BK-R93R-52,Australia,Australia,"Jul 02, 2017",2017-07-12,"Jul 09, 2017",1.8,3578.27,,2171.2942,2171.2942,-3578.27,-3578.27,ERP_EXPORT_20240115
Internet,SO48432,SO48432 - 1,AW00023098,,BK-R89B-52,australia,Australia,2018-11-02 00:00:00,2018-11-12,"Nov 09, 2018",1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
internet,SO44961,SO44961 - 1,AW00029060,,BK-R93R-52,Southwest,United States,11/20/2017,2017-11-30,20171127,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO47183,SO47183 - 1,,,BK-R50B-60,Southwest,United States,2018-07-14,2018-07-24,20180721,1.3,782.99,,486.7066,486.7066,782.99,-782.99,ERP_EXPORT_20240115
Internet,SO46818,SO46818 - 1,AW00021211,,BK-R89R-48,Australia,Australia,06/16/2018,2018-06-26,2018-06-23,1.0,2443.35,0.0,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
Internet,SO44471,SO44471 - 1,AW00025561,,BK-R50R-60,Australia,Australia,09/28/2017,2017-10-08,10/05/2017,1.0,699.0982,0.0,413.1463,413.1463,699.0982,699.0982,ERP_EXPORT_20240115
Internet,SO45895,SO45895 - 1,AW00011727,,BK-R93R-44,Southwest,United States,20180314,2018-03-24,2018-03-21,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO44974,SO44974 - 1,,,BK-R93R-48,United Kingdom,United Kingdom,20171122,2017-12-02,2017-11-29,1.3,3578.27,,2171.2942,2171.2942,-3578.27,-3578.27,ERP_EXPORT_20240115
Internet,SO45630,SO45630 - 1,AW00011899,,BK-M82B-48,Australia,Australia,04-02-2018,2018-02-14,2018-02-11,1.0,3374.99,0.0,1898.0944,1898.0944,3374.99,3374.99,ERP_EXPORT_20240115
Internet,SO45082,SO45082 - 1,,,BK-M82B-44,australia,Australia,12/01/2017,2017-12-11,2017-12-08 00:00:00,1.7,3374.99,,1898.0944,1898.0944,-3374.99,-3374.99,ERP_EXPORT_20240115
 Internet,SO43733,SO43733 - 1,AW00027577,,BK-R93R-48,Northwest,United States,2017-07-05 00:00:00,2017-07-15,20170712,1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO44830,SO44830 - 1,AW00018337,,BK-R93R-56,Australia,Australia,2017-11-03 00:00:00,2017-11-13,10-11-2017,1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO47915,SO47915 - 1,AW00026351,,BK-M68B-42,Southwest,United States,09/24/2018,2018-10-04,10/01/2018,1.0,2049.0982,0.0,1105.81,1105.81,2049.0982,2049.0982,ERP_EXPORT_20240115
Internet,SO45871,SO45871 - 1,AW00025919,,BK-R50R-44,australia,Australia,10-03-2018,2018-03-20,17-03-2018,1.0,699.0982,0.0,413.1463,413.1463,699.0982,699.0982,ERP_EXPORT_20240115
Internet,SO44235,SO44235 - 1,AW00022117,,BK-R93R-52,CANADA,Canada,"Aug 23, 2017",2017-09-02,"Aug 30, 2017",1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO48821,SO48821 - 1,AW00023344,,BK-R89B-58,AUSTRALIA,Australia,"Dec 03, 2018",2018-12-13,"Dec 10, 2018",1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO44708,SO44708 - 1,AW00025909,,BK-M82B-44,Southwest,United States,2017-10-24 00:00:00,2017-11-03,20171031,1.0,3374.99,0.0,1898.0944,1898.0944,3374.99,3374.99,ERP_EXPORT_20240115
Internet,SO45894,SO45894 - 1,AW00019450,,BK-R50B-58,Germany,Germany,03/14/2018,2018-03-24,21-03-2018,1.0,699.0982,0.0,413.1463,413.1463,699.0982,699.0982,ERP_EXPORT_20240115
Internet,SO47511,SO47511 - 1,,,BK-R89B-48,France,France,"Aug 10, 2018",2018-08-20,"Aug 17, 2018",1.8,2181.5625,,1320.6838,1320.6838,2181.5625,-2181.5625,ERP_EXPORT_20240115
INTERNET,SO46452,SO46452 - 1,AW00026112,,BK-M82B-42,Northwest,United States,10-05-2018,2018-05-20,2018-05-17,1.0,3374.99,0.0,1898.0944,1898.0944,3374.99,3374.99,ERP_EXPORT_20240115
Internet,SO46842,SO46842 - 1,AW00015166,,BK-R50R-58,Southwest,United States,"Jun 19, 2018",2018-06-29,20180626,1.0,782.99,0.0%,486.7066,486.7066,782.99,782.99,ERP_EXPORT_20240115
Internet,SO44717,SO44717 - 1,AW00014616,,BK-R50B-62,Southwest,United States,"Oct 26, 2017",2017-11-05,2017-11-02 00:00:00,1.0,699.0982,0.0,413.1463,413.1463,699.0982,699.0982,ERP_EXPORT_20240115
Internet,SO45371,SO45371 - 1,AW00015062,,BK-R93R-62,United Kingdom,United Kingdom,2018-01-05 00:00:00,2018-01-15,20180112,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
 Internet,SO46582,SO46582 - 1,AW00012207,,BK-R93R-56,northwest,United States,27-05-2018,2018-06-06,2018-06-03 00:00:00,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO45433,SO45433 - 1,AW00012547,,BK-R93R-62,France,France,14-01-2018,2018-01-24,20180121,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO48211,SO48211 - 1,AW00017634,,BK-R64Y-42,France,France,10/21/2018,2018-10-31,2018-10-28,1.0,1000.4375,0.0,605.6492,605.6492,1000.4375,1000.4375,ERP_EXPORT_20240115
internet,SO45504,SO45504 - 1,AW00014730,,BK-R50B-48,Southwest,United States,"Jan 26, 2018",2018-02-05,2018-02-02 00:00:00,1.0,699.0982,0.0%,413.1463,413.1463,699.0982,699.0982,ERP_EXPORT_20240115
Internet,SO44417,SO44417 - 1,AW00017917,,BK-R93R-44,Australia,Australia,"Sep 18, 2017",2017-09-28,25-09-2017,1.0,3578.27,,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
internet,SO45402,SO45402 - 1,AW00011413,,BK-M82S-38,United Kingdom,United Kingdom,"Jan 10, 2018",2018-01-20,01/17/2018,1.0,3399.99,0.0,1912.1544,1912.1544,3399.99,3399.99,ERP_EXPORT_20240115
Internet,SO48538,SO48538 - 1,AW00022905,,BK-R89B-58,Australia,Australia,2018-11-12,2018-11-22,20181119,1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO46266,SO46266 - 1,AW00020425,,BK-R93R-56,australia,Australia,04/21/2018,2018-05-01,28-04-2018,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
INTERNET,SO45872,SO45872 - 1,,,BK-M82S-48,Germany,Germany,03/11/2018,2018-03-21,18-03-2018,1.5,3399.99,,1912.1544,1912.1544,3399.99,-3399.99,ERP_EXPORT_20240115
Internet,SO48929,SO48929 - 1,AW00013526,,BK-M68S-38,Australia,Australia,20181216,2018-12-26,2018-12-23 00:00:00,1.0,2071.4196,0.0%,1117.8559,1117.8559,2071.4196,2071.4196,ERP_EXPORT_20240115
Internet,SO47948,SO47948 - 1,AW00013450,,BK-R89R-48,NORTHWEST,United States,09/29/2018,2018-10-09,10/06/2018,1.0,2443.35,0.0%,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
internet,SO46810,SO46810 - 1,AW00015622,,BK-R89R-52,Germany,Germany,2018-06-16 00:00:00,2018-06-26,20180623,1.0,2443.35,0.0,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
Internet,SO46694,SO46694 - 1,AW00013220,,BK-R89B-44,southwest,United States,02-06-2018,2018-06-12,2018-06-09,1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO43957,SO43957 - 1,,,BK-R93R-52,southwest,United States,2017-07-21,2017-07-31,2017-07-28,1.2,3578.27,,2171.2942,2171.2942,3578.27,-3578.27,ERP_EXPORT_20240115
 Internet,SO48107,SO48107 - 1,AW00022580,,BK-R89R-52,Australia,Australia,2018-10-03,2018-10-13,20181010,1.0,2443.35,0.0,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
INTERNET,SO47299,SO47299 - 1,AW00013425,,BK-R89R-48,Northwest,United States,"Jul 26, 2018",2018-08-05,08/02/2018,1.0,2443.35,0.0,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
INTERNET,SO47763,SO47763 - 1,AW00022170,,BK-R89B-58,Australia,Australia,20180904,2018-09-14,"Sep 11, 2018",1.0,2181.5625,0.0,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO44812,SO44812 - 1,AW00028988,,BK-R93R-56,Southwest,United States,2017-11-01 00:00:00,2017-11-11,2017-11-08,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO45989,SO45989 - 1,AW00012631,,BK-R93R-44,France,France,2018-03-27,2018-04-06,2018-04-03,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO44045,SO44045 - 1,,,BK-M82S-38,France,France,2017-07-30,2017-08-09,08/06/2017,1.1,3399.99,,1912.1544,1912.1544,3399.99,3399.99,ERP_EXPORT_20240115
Internet,SO46691,SO46691 - 1,AW00013142,,BK-R89R-44,Southwest,United States,02-06-2018,2018-06-12,2018-06-09 00:00:00,1.0,2443.35,0.0,1518.7864,1518.7864,2443.35,2443.35,ERP_EXPORT_20240115
Internet,SO43971,SO43971 - 1,,,BK-R93R-56,Australia,Australia,2017-07-22 00:00:00,2017-08-01,29-07-2017,1.6,3578.27,,2171.2942,2171.2942,-3578.27,-3578.27,ERP_EXPORT_20240115
Internet,SO46499,SO46499 - 1,AW00012179,,BK-R93R-62,Northwest,United States,2018-05-18,2018-05-28,25-05-2018,1.0,3578.27,0.0,2171.2942,2171.2942,3578.27,3578.27,ERP_EXPORT_20240115
Internet,SO47633,SO47633 - 1,AW00021894,,BK-R89R-58,Australia,Australia,08/26/2018,2018-09-05,"Sep 02, 2018",1.0,2181.5625,0.0%,1320.6838,1320.6838,2181.5625,2181.5625,ERP_EXPORT_20240115
Internet,SO48861,SO48861 - 1,AW00026786,,BK-M68S-38,Southwest ,United States,20181209,2018-12-19,16-12-2018,1.0,2071.4196,0.0,1117.8559,1117.8559,2071.4196,2071.4196,ERP_EXPORT_20240115
Internet,SO44156,SO44156 - 1,AW00025887,,BK-M82S-44,Northwest,United States,06-08-2017,2017-08-16,2017-08-13,1.0,3399.99,,1912.1544,1912.1544,3399.99,3399.99,ERP_EXPORT_20240115
