REGION,Country,Sales_Group,notes
NORTHWEST,United States,North America,
Northeast,United States,North America,
Central,United States,north america,
Southwest,United States,North America,
southeast,United States,North America,
Canada,Canada , North America,
France,France , Europe,
Germany,Germany,Europe,
Australia,Australia,Pacific,
United Kingdom,United Kingdom,Europe,
CORPORATE HQ,CORPORATE HQ, Corporate HQ,
Canada,Canada , North America,
NORTHWEST,United States,North America,
United Kingdom,United Kingdom,Europe,
